slug,title,author,isbn,status,first_published,date_updated,notes
ancestral-night,Ancestral Night,Elizabeth Bear,9781534402997,want,2019,,
ancillary-justice,Ancillary Justice,Ann Leckie,9780316246637,read,2013,,
ancillary-mercy,Ancillary Mercy,Ann Leckie,9780316246675,read,2015,,
ancillary-sword,Ancillary Sword,Ann Leckie,9780316246644,read,2014,,
and-then-there-were-none,And Then There Were None,Agatha Christie,0312979479,read,1939,,
android-security-internals-an-in-depth-guide-to-android-s-security-architecture,Android Security Internals: An In-Depth Guide to Android's Security Architecture,Nikolay Elenkov,9781593276416,read,2014,,
andromaque,Andromaque,Jean Racine,,read,1675,,
angels-in-america,Angels in America,Tony Kushner,9781441163684,read,1993,,
animal-farm,Animal Farm,George Orwell,9781529038224,read,1945,,
animal-liberation,Animal Liberation,Peter Singer,9781473524422,read,1975,,
anna-karenina-2,Anna Karenina,Leo Tolstoy,9783736817296,want,2016,,
annals,Annals,Tacitus,1537287389,read,1598,,
annals-the-histories,Annals & The Histories,Tacitus,9788026894094,read,2018,,
anne-of-avonlea,Anne of Avonlea,Lucy Maud Montgomery,1595401091,read,2004,,
anne-of-green-gables,Anne of Green Gables,L. M. Montgomery,9781466803589,read,1995,,
anne-of-the-island,Anne of the Island,L. M. Montgomery,1975843304,read,2017,,
annie-allen,Annie Allen,Gwendolyn Brooks,,read,1949,,
annihilation,Annihilation,Jeff VanderMeer,9780374710774,want,2014,,
annihilation-of-caste,Annihilation of Caste,B.R. Ambedkar,9781781688304,read,1937,,
another-country,Another Country,James Baldwin,9780679744719,read,1962,,
another-fine-myth,Another Fine Myth,Robert Asprin,,read,,,
anthills-of-the-savannah,Anthills of the Savannah,Chinua Achebe,0435905384,read,1987,,
anti-oedipus,Anti-Oedipus,Gilles Deleuze,0826476953,read,1999,,
antic-hay,Antic Hay,Aldous Huxley,,read,2019,,
antifragile-2,Antifragile,Nassim Nicholas Taleb,9781400067824,read,2012,,
antigone,Antigone,Sophocles,0521337011,read,1835,,
antigone-2,Antigone,Jean Anouilh,,read,1782,,
antony-and-cleopatra,Antony and Cleopatra,William Shakespeare,0198320574,read,1734,,
apex,Apex,Ramez Naam,,read,,,
apology,Apology,Plato,1540544559,read,1907,,
applied-cryptography,Applied Cryptography,Bruce Schneier,1119183472,read,1994,,
applied-network-security-monitoring,Applied Network Security Monitoring,Chris Sanders,9780124172166,want,2014,,
arcadia,Arcadia,Tom Stoppard,9780571169344,read,1993,,
arduino-project-handbook,Arduino Project Handbook,Mark Geddes,9781593276904,read,2016,,
areopagitica,Areopagitica,John Milton,9780718192495,read,1644,,
argonautica,Argonautica,Apollonius of Rhodes,0521312361,read,2024,,
arguably,Arguably,Christopher Hitchens,085789255X,read,2011,,
ariel,Ariel,Sylvia Plath,9780062669445,read,1965,,
armadale,Armadale,Wilkie Collins,,read,1866,,
arms-and-the-man,Arms and the Man,George Bernard Shaw,9780486111964,read,2012,,
around-the-world-in-eighty-days,Around the World in Eighty Days,Jules Verne,0792712722,want,2013,,
arrow-of-god,Arrow of God,Chinua Achebe,0435905309,read,1964,,
ars-ne-lupin-versus-herlock-sholmes,Arsène Lupin Versus Herlock Sholmes,"Maurice le Blanc, Sheba Blake",9781387277247,read,2018,,
ars-poetica,Ars Poetica,Horace,9780521283083,read,1536,,
art-of-computer-programming-vol1,Art of Computer Programming Vol1,Donald E. Knuth,9780321635747,read,1997,,
art-of-computer-programming-vol2,Art of Computer Programming Vol2,Donald E. Knuth,9780321635761,read,2014,,
art-of-computer-programming-vol3,Art of Computer Programming Vol3,Donald E. Knuth,,read,1973,,
art-of-not-being-governed,Art of Not Being Governed,James C Scott,9780300156522,want,2009,,
art-of-war,Art of War,Sun Tzu,0486425576,read,1900,,
arthashastra,Arthashastra,Kautilya,,read,2016,,
articulating-design-decisions,Articulating Design Decisions,Tom Greever,9781492079170,read,2020,,
artificial-condition,Artificial Condition,Martha Wells,9781250186935,read,2018,,
artificial-intelligence-a-guide-for-thinking-humans,Artificial Intelligence: A Guide for Thinking Humans,Melanie Mitchell,9780374715236,read,2019,,
artificial-intelligence-a-modern-approach,Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,0131038052,read,1995,,
artificial-intelligence-with-python,Artificial Intelligence with Python,"Alberto Artasanchez, Prateek Joshi",9781839216077,read,2020,,
artificial-respiration,Artificial Respiration,Ricardo Piglia,0822314142,read,1994,,
artists-in-crime,Artists in Crime,Ngaio Marsh,9781937384289,read,1938,,
as-i-lay-dying,As I Lay Dying,William Faulkner,,read,1915,,
as-you-like-it,As You Like It,William Shakespeare,9780192834195,read,1734,,
ashenden,Ashenden,W. Somerset Maugham,,read,2023,,
assassins-apprentice,Assassin's Apprentice,Robin Hobb,9780804180597,read,1995,,
assassins-quest,Assassin's Quest,Robin Hobb,9780553565690,read,1997,,
at-the-back-of-the-north-wind,At the Back of the North Wind,George MacDonald,,read,2020,,
